preset_id,day,shop1,shop2,shop3,variant,workers_total,cash_min_after_mandatory_finance,buy_sw_today,sw_owned_end,capacity_clamped,wheat_seed_count,next_day_hire_reserve,C,S,G,ST,CR,T,M
D6|PIZZA_SHOP|LOW,6,PIZZA_SHOP,,,LOW,8,88,False,False,False,0,88,5,1,1,0,0,4,12
D6|PIZZA_SHOP|BASE,6,PIZZA_SHOP,,,BASE,8,488,False,False,False,0,88,6,1,1,0,0,4,12
D6|PIZZA_SHOP|HIGH,6,PIZZA_SHOP,,,HIGH,9,888,False,False,False,0,88,7,1,1,0,0,4,12
D6|BRUNCH_SPOT|LOW,6,BRUNCH_SPOT,,,LOW,8,88,False,False,False,0,88,2,1,3,8,0,0,12
D6|BRUNCH_SPOT|BASE,6,BRUNCH_SPOT,,,BASE,8,388,False,False,False,0,88,2,1,4,8,0,0,12
D6|BRUNCH_SPOT|HIGH,6,BRUNCH_SPOT,,,HIGH,9,688,False,False,False,0,88,2,1,5,8,0,0,12
D6|YARN_STORE|LOW,6,YARN_STORE,,,LOW,8,88,False,False,False,0,88,2,4,1,0,0,0,12
D6|YARN_STORE|BASE,6,YARN_STORE,,,BASE,8,588,False,False,False,0,88,2,5,1,0,0,0,12
D6|YARN_STORE|HIGH,6,YARN_STORE,,,HIGH,9,1088,False,False,False,0,88,2,6,1,0,0,0,12
D6|ICE_CREAM_SHOP|LOW,6,ICE_CREAM_SHOP,,,LOW,8,88,False,False,False,0,88,5,1,1,4,0,0,12
D6|ICE_CREAM_SHOP|BASE,6,ICE_CREAM_SHOP,,,BASE,8,488,False,False,False,0,88,6,1,1,4,0,0,12
D6|ICE_CREAM_SHOP|HIGH,6,ICE_CREAM_SHOP,,,HIGH,9,888,False,False,False,0,88,7,1,1,4,0,0,12
D6|PET_CAFE|LOW,6,PET_CAFE,,,LOW,8,88,False,False,False,0,88,2,1,3,0,14,0,12
D6|PET_CAFE|BASE,6,PET_CAFE,,,BASE,8,88,False,False,False,0,88,2,1,3,0,14,0,12
D6|PET_CAFE|HIGH,6,PET_CAFE,,,HIGH,9,168,False,False,False,0,88,2,1,3,0,18,0,12
D6|SMOOTHIE_SHOP|LOW,6,SMOOTHIE_SHOP,,,LOW,8,88,False,False,False,0,88,5,1,1,4,0,0,12
D6|SMOOTHIE_SHOP|BASE,6,SMOOTHIE_SHOP,,,BASE,8,488,False,False,False,0,88,6,1,1,4,0,0,12
D6|SMOOTHIE_SHOP|HIGH,6,SMOOTHIE_SHOP,,,HIGH,9,888,False,False,False,0,88,7,1,1,4,0,0,12
D6|FARMERS_MARKET|LOW,6,FARMERS_MARKET,,,LOW,8,88,False,False,False,0,88,2,1,3,6,6,0,12
D6|FARMERS_MARKET|BASE,6,FARMERS_MARKET,,,BASE,8,88,False,False,False,0,88,2,1,3,6,6,0,12
D6|FARMERS_MARKET|HIGH,6,FARMERS_MARKET,,,HIGH,9,288,False,False,False,0,88,2,1,3,8,6,0,12
D7|BAKERY+BAKERY|LOW,7,BAKERY,BAKERY,,LOW,10,508,False,False,False,12,88,2,1,5,0,0,0,12
D7|BAKERY+BAKERY|BASE,7,BAKERY,BAKERY,,BASE,10,808,False,False,False,12,88,2,1,6,0,0,0,12
D7|BAKERY+BAKERY|HIGH,7,BAKERY,BAKERY,,HIGH,10,808,False,False,True,12,88,2,1,6,0,0,0,12
D7|BAKERY+PIZZA_SHOP|LOW,7,BAKERY,PIZZA_SHOP,,LOW,10,808,False,False,False,12,88,3,1,4,0,0,4,12
D7|BAKERY+PIZZA_SHOP|BASE,7,BAKERY,PIZZA_SHOP,,BASE,10,1208,False,False,False,12,88,4,1,4,0,0,4,12
D7|BAKERY+PIZZA_SHOP|HIGH,7,BAKERY,PIZZA_SHOP,,HIGH,11,1308,False,False,False,12,88,4,1,4,0,0,6,12
D7|BAKERY+BRUNCH_SPOT|LOW,7,BAKERY,BRUNCH_SPOT,,LOW,10,1708,False,False,False,12,88,2,1,5,12,0,0,12
D7|BAKERY+BRUNCH_SPOT|BASE,7,BAKERY,BRUNCH_SPOT,,BASE,10,2008,False,False,False,12,88,2,1,6,12,0,0,12
D7|BAKERY+BRUNCH_SPOT|HIGH,7,BAKERY,BRUNCH_SPOT,,HIGH,11,2208,False,False,False,12,88,2,1,6,14,0,0,12
D7|BAKERY+YARN_STORE|LOW,7,BAKERY,YARN_STORE,,LOW,10,708,False,False,False,12,88,2,2,4,0,0,0,12
D7|BAKERY+YARN_STORE|BASE,7,BAKERY,YARN_STORE,,BASE,10,1208,False,False,False,12,88,2,3,4,0,0,0,12
D7|BAKERY+YARN_STORE|HIGH,7,BAKERY,YARN_STORE,,HIGH,10,1208,False,False,True,12,88,2,3,4,0,0,0,12
D7|BAKERY+ICE_CREAM_SHOP|LOW,7,BAKERY,ICE_CREAM_SHOP,,LOW,10,1808,False,False,False,12,88,3,1,4,12,0,0,12
D7|BAKERY+ICE_CREAM_SHOP|BASE,7,BAKERY,ICE_CREAM_SHOP,,BASE,10,2208,False,False,False,12,88,4,1,4,12,0,0,12
D7|BAKERY+ICE_CREAM_SHOP|HIGH,7,BAKERY,ICE_CREAM_SHOP,,HIGH,11,2408,False,False,False,12,88,4,1,4,14,0,0,12
D7|BAKERY+PET_CAFE|LOW,7,BAKERY,PET_CAFE,,LOW,10,408,False,False,False,12,88,2,1,4,0,10,0,12
D7|BAKERY+PET_CAFE|BASE,7,BAKERY,PET_CAFE,,BASE,10,488,False,False,False,12,88,2,1,4,0,14,0,12
D7|BAKERY+PET_CAFE|HIGH,7,BAKERY,PET_CAFE,,HIGH,11,568,False,False,False,12,88,2,1,4,0,18,0,12
D7|BAKERY+SMOOTHIE_SHOP|LOW,7,BAKERY,SMOOTHIE_SHOP,,LOW,10,1808,False,False,False,12,88,3,1,4,12,0,0,12
D7|BAKERY+SMOOTHIE_SHOP|BASE,7,BAKERY,SMOOTHIE_SHOP,,BASE,10,2208,False,False,False,12,88,4,1,4,12,0,0,12
D7|BAKERY+SMOOTHIE_SHOP|HIGH,7,BAKERY,SMOOTHIE_SHOP,,HIGH,11,2408,False,False,False,12,88,4,1,4,14,0,0,12
D7|BAKERY+FARMERS_MARKET|LOW,7,BAKERY,FARMERS_MARKET,,LOW,10,1328,False,False,False,12,88,2,1,4,10,6,0,12
D7|BAKERY+FARMERS_MARKET|BASE,7,BAKERY,FARMERS_MARKET,,BASE,10,1528,False,False,False,12,88,2,1,4,12,6,0,12
D7|BAKERY+FARMERS_MARKET|HIGH,7,BAKERY,FARMERS_MARKET,,HIGH,11,1728,False,False,False,12,88,2,1,4,14,6,0,12
D7|PIZZA_SHOP+BAKERY|LOW,7,PIZZA_SHOP,BAKERY,,LOW,10,708,False,False,False,12,88,7,1,1,0,0,6,12
D7|PIZZA_SHOP+BAKERY|BASE,7,PIZZA_SHOP,BAKERY,,BASE,10,708,False,False,False,12,88,7,1,1,0,0,6,12
D7|PIZZA_SHOP+BAKERY|HIGH,7,PIZZA_SHOP,BAKERY,,HIGH,11,1008,False,False,False,12,88,7,1,2,0,0,6,12
D7|PIZZA_SHOP+PIZZA_SHOP|LOW,7,PIZZA_SHOP,PIZZA_SHOP,,LOW,10,808,False,False,False,12,88,7,1,1,0,0,8,12
D7|PIZZA_SHOP+PIZZA_SHOP|BASE,7,PIZZA_SHOP,PIZZA_SHOP,,BASE,10,1208,False,False,False,12,88,8,1,1,0,0,8,12
D7|PIZZA_SHOP+PIZZA_SHOP|HIGH,7,PIZZA_SHOP,PIZZA_SHOP,,HIGH,11,1308,False,False,False,12,88,8,1,1,0,0,10,12
D7|PIZZA_SHOP+BRUNCH_SPOT|LOW,7,PIZZA_SHOP,BRUNCH_SPOT,,LOW,10,1898,False,False,False,11,88,7,1,1,12,0,6,12
D7|PIZZA_SHOP+BRUNCH_SPOT|BASE,7,PIZZA_SHOP,BRUNCH_SPOT,,BASE,10,1898,False,False,False,11,88,7,1,1,12,0,6,12
D7|PIZZA_SHOP+BRUNCH_SPOT|HIGH,7,PIZZA_SHOP,BRUNCH_SPOT,,HIGH,11,2198,False,False,False,11,88,7,1,2,12,0,6,12
D7|PIZZA_SHOP+YARN_STORE|LOW,7,PIZZA_SHOP,YARN_STORE,,LOW,10,1208,False,False,False,12,88,7,2,1,0,0,6,12
D7|PIZZA_SHOP+YARN_STORE|BASE,7,PIZZA_SHOP,YARN_STORE,,BASE,10,1708,False,False,False,12,88,7,3,1,0,0,6,12
D7|PIZZA_SHOP+YARN_STORE|HIGH,7,PIZZA_SHOP,YARN_STORE,,HIGH,11,1808,False,False,False,12,88,7,3,1,0,0,8,12
D7|PIZZA_SHOP+ICE_CREAM_SHOP|LOW,7,PIZZA_SHOP,ICE_CREAM_SHOP,,LOW,10,1898,False,False,False,11,88,7,1,1,12,0,6,12
D7|PIZZA_SHOP+ICE_CREAM_SHOP|BASE,7,PIZZA_SHOP,ICE_CREAM_SHOP,,BASE,10,2288,False,False,False,10,88,8,1,1,12,0,6,12
D7|PIZZA_SHOP+ICE_CREAM_SHOP|HIGH,7,PIZZA_SHOP,ICE_CREAM_SHOP,,HIGH,11,2488,False,False,False,10,88,8,1,1,14,0,6,12
D7|PIZZA_SHOP+PET_CAFE|LOW,7,PIZZA_SHOP,PET_CAFE,,LOW,10,908,False,False,False,12,88,7,1,1,0,10,6,12
D7|PIZZA_SHOP+PET_CAFE|BASE,7,PIZZA_SHOP,PET_CAFE,,BASE,10,958,False,False,False,9,88,7,1,1,0,14,6,12
D7|PIZZA_SHOP+PET_CAFE|HIGH,7,PIZZA_SHOP,PET_CAFE,,HIGH,11,1038,False,False,False,9,88,7,1,1,0,18,6,12
D7|PIZZA_SHOP+SMOOTHIE_SHOP|LOW,7,PIZZA_SHOP,SMOOTHIE_SHOP,,LOW,10,1898,False,False,False,11,88,7,1,1,12,0,6,12
D7|PIZZA_SHOP+SMOOTHIE_SHOP|BASE,7,PIZZA_SHOP,SMOOTHIE_SHOP,,BASE,10,2288,False,False,False,10,88,8,1,1,12,0,6,12
D7|PIZZA_SHOP+SMOOTHIE_SHOP|HIGH,7,PIZZA_SHOP,SMOOTHIE_SHOP,,HIGH,11,2488,False,False,False,10,88,8,1,1,14,0,6,12
D7|PIZZA_SHOP+FARMERS_MARKET|LOW,7,PIZZA_SHOP,FARMERS_MARKET,,LOW,10,3978,True,True,False,27,88,7,1,1,10,6,6,12
D7|PIZZA_SHOP+FARMERS_MARKET|BASE,7,PIZZA_SHOP,FARMERS_MARKET,,BASE,10,4158,True,True,False,25,88,7,1,1,12,6,6,12
D7|PIZZA_SHOP+FARMERS_MARKET|HIGH,7,PIZZA_SHOP,FARMERS_MARKET,,HIGH,11,4358,True,True,False,25,88,7,1,1,14,6,6,12
D7|BRUNCH_SPOT+BAKERY|LOW,7,BRUNCH_SPOT,BAKERY,,LOW,10,1308,False,False,False,12,88,2,1,5,16,0,0,12
D7|BRUNCH_SPOT+BAKERY|BASE,7,BRUNCH_SPOT,BAKERY,,BASE,10,1608,False,False,False,12,88,2,1,6,16,0,0,12
D7|BRUNCH_SPOT+BAKERY|HIGH,7,BRUNCH_SPOT,BAKERY,,HIGH,11,1808,False,False,False,12,88,2,1,6,18,0,0,12
D7|BRUNCH_SPOT+PIZZA_SHOP|LOW,7,BRUNCH_SPOT,PIZZA_SHOP,,LOW,10,1588,False,False,False,10,88,3,1,4,16,0,4,12
D7|BRUNCH_SPOT+PIZZA_SHOP|BASE,7,BRUNCH_SPOT,PIZZA_SHOP,,BASE,10,1978,False,False,False,9,88,4,1,4,16,0,4,12
D7|BRUNCH_SPOT+PIZZA_SHOP|HIGH,7,BRUNCH_SPOT,PIZZA_SHOP,,HIGH,11,2178,False,False,False,9,88,4,1,4,18,0,4,12
D7|BRUNCH_SPOT+BRUNCH_SPOT|LOW,7,BRUNCH_SPOT,BRUNCH_SPOT,,LOW,10,1868,False,False,False,8,88,2,1,5,22,0,0,12
D7|BRUNCH_SPOT+BRUNCH_SPOT|BASE,7,BRUNCH_SPOT,BRUNCH_SPOT,,BASE,10,4298,True,True,False,21,88,2,1,6,22,0,0,12
D7|BRUNCH_SPOT+BRUNCH_SPOT|HIGH,7,BRUNCH_SPOT,BRUNCH_SPOT,,HIGH,11,4498,True,True,False,21,88,2,1,6,24,0,0,12
D7|BRUNCH_SPOT+YARN_STORE|LOW,7,BRUNCH_SPOT,YARN_STORE,,LOW,10,1508,False,False,False,12,88,2,2,4,16,0,0,12
D7|BRUNCH_SPOT+YARN_STORE|BASE,7,BRUNCH_SPOT,YARN_STORE,,BASE,10,2008,False,False,False,12,88,2,3,4,16,0,0,12
D7|BRUNCH_SPOT+YARN_STORE|HIGH,7,BRUNCH_SPOT,YARN_STORE,,HIGH,11,2208,False,False,False,12,88,2,3,4,18,0,0,12
D7|BRUNCH_SPOT+ICE_CREAM_SHOP|LOW,7,BRUNCH_SPOT,ICE_CREAM_SHOP,,LOW,10,1968,False,False,False,8,88,3,1,4,22,0,0,12
D7|BRUNCH_SPOT+ICE_CREAM_SHOP|BASE,7,BRUNCH_SPOT,ICE_CREAM_SHOP,,BASE,10,4518,True,True,False,23,88,4,1,4,22,0,0,12
D7|BRUNCH_SPOT+ICE_CREAM_SHOP|HIGH,7,BRUNCH_SPOT,ICE_CREAM_SHOP,,HIGH,11,4718,True,True,False,23,88,4,1,4,24,0,0,12
D7|BRUNCH_SPOT+PET_CAFE|LOW,7,BRUNCH_SPOT,PET_CAFE,,LOW,10,3378,True,True,False,29,88,2,1,4,16,10,0,12
D7|BRUNCH_SPOT+PET_CAFE|BASE,7,BRUNCH_SPOT,PET_CAFE,,BASE,10,3418,True,True,False,25,88,2,1,4,16,14,0,12
D7|BRUNCH_SPOT+PET_CAFE|HIGH,7,BRUNCH_SPOT,PET_CAFE,,HIGH,11,3498,True,True,False,25,88,2,1,4,16,18,0,12
D7|BRUNCH_SPOT+SMOOTHIE_SHOP|LOW,7,BRUNCH_SPOT,SMOOTHIE_SHOP,,LOW,10,1968,False,False,False,8,88,3,1,4,22,0,0,12
D7|BRUNCH_SPOT+SMOOTHIE_SHOP|BASE,7,BRUNCH_SPOT,SMOOTHIE_SHOP,,BASE,10,4518,True,True,False,23,88,4,1,4,22,0,0,12
D7|BRUNCH_SPOT+SMOOTHIE_SHOP|HIGH,7,BRUNCH_SPOT,SMOOTHIE_SHOP,,HIGH,11,4718,True,True,False,23,88,4,1,4,24,0,0,12
D7|BRUNCH_SPOT+FARMERS_MARKET|LOW,7,BRUNCH_SPOT,FARMERS_MARKET,,LOW,10,3658,True,True,False,25,88,2,1,4,20,6,0,12
D7|BRUNCH_SPOT+FARMERS_MARKET|BASE,7,BRUNCH_SPOT,FARMERS_MARKET,,BASE,10,3838,True,True,False,23,88,2,1,4,22,6,0,12
D7|BRUNCH_SPOT+FARMERS_MARKET|HIGH,7,BRUNCH_SPOT,FARMERS_MARKET,,HIGH,11,4038,True,True,False,23,88,2,1,4,24,6,0,12
D7|YARN_STORE+BAKERY|LOW,7,YARN_STORE,BAKERY,,LOW,10,708,False,False,False,12,88,2,6,1,0,0,0,12
D7|YARN_STORE+BAKERY|BASE,7,YARN_STORE,BAKERY,,BASE,10,708,False,False,False,12,88,2,6,1,0,0,0,12
D7|YARN_STORE+BAKERY|HIGH,7,YARN_STORE,BAKERY,,HIGH,11,1008,False,False,False,12,88,2,6,2,0,0,0,12
D7|YARN_STORE+PIZZA_SHOP|LOW,7,YARN_STORE,PIZZA_SHOP,,LOW,10,1308,False,False,False,12,88,3,6,1,0,0,4,12
D7|YARN_STORE+PIZZA_SHOP|BASE,7,YARN_STORE,PIZZA_SHOP,,BASE,10,1708,False,False,False,12,88,4,6,1,0,0,4,12
D7|YARN_STORE+PIZZA_SHOP|HIGH,7,YARN_STORE,PIZZA_SHOP,,HIGH,11,1808,False,False,False,12,88,4,6,1,0,0,6,12
D7|YARN_STORE+BRUNCH_SPOT|LOW,7,YARN_STORE,BRUNCH_SPOT,,LOW,10,1908,False,False,False,12,88,2,6,1,12,0,0,12
D7|YARN_STORE+BRUNCH_SPOT|BASE,7,YARN_STORE,BRUNCH_SPOT,,BASE,10,1908,False,False,False,12,88,2,6,1,12,0,0,12
D7|YARN_STORE+BRUNCH_SPOT|HIGH,7,YARN_STORE,BRUNCH_SPOT,,HIGH,11,2208,False,False,False,12,88,2,6,2,12,0,0,12
D7|YARN_STORE+YARN_STORE|LOW,7,YARN_STORE,YARN_STORE,,LOW,10,708,False,False,False,12,88,2,6,1,0,0,0,12
D7|YARN_STORE+YARN_STORE|BASE,7,YARN_STORE,YARN_STORE,,BASE,10,1208,False,False,False,12,88,2,7,1,0,0,0,12
D7|YARN_STORE+YARN_STORE|HIGH,7,YARN_STORE,YARN_STORE,,HIGH,10,1208,False,False,True,12,88,2,7,1,0,0,0,12
D7|YARN_STORE+ICE_CREAM_SHOP|LOW,7,YARN_STORE,ICE_CREAM_SHOP,,LOW,10,2308,False,False,False,12,88,3,6,1,12,0,0,12
D7|YARN_STORE+ICE_CREAM_SHOP|BASE,7,YARN_STORE,ICE_CREAM_SHOP,,BASE,10,2708,False,False,False,12,88,4,6,1,12,0,0,12
D7|YARN_STORE+ICE_CREAM_SHOP|HIGH,7,YARN_STORE,ICE_CREAM_SHOP,,HIGH,11,2908,False,False,False,12,88,4,6,1,14,0,0,12
D7|YARN_STORE+PET_CAFE|LOW,7,YARN_STORE,PET_CAFE,,LOW,10,908,False,False,False,12,88,2,6,1,0,10,0,12
D7|YARN_STORE+PET_CAFE|BASE,7,YARN_STORE,PET_CAFE,,BASE,10,988,False,False,False,12,88,2,6,1,0,14,0,12
D7|YARN_STORE+PET_CAFE|HIGH,7,YARN_STORE,PET_CAFE,,HIGH,11,1068,False,False,False,12,88,2,6,1,0,18,0,12
D7|YARN_STORE+SMOOTHIE_SHOP|LOW,7,YARN_STORE,SMOOTHIE_SHOP,,LOW,10,2308,False,False,False,12,88,3,6,1,12,0,0,12
D7|YARN_STORE+SMOOTHIE_SHOP|BASE,7,YARN_STORE,SMOOTHIE_SHOP,,BASE,10,2708,False,False,False,12,88,4,6,1,12,0,0,12
D7|YARN_STORE+SMOOTHIE_SHOP|HIGH,7,YARN_STORE,SMOOTHIE_SHOP,,HIGH,11,2908,False,False,False,12,88,4,6,1,14,0,0,12
D7|YARN_STORE+FARMERS_MARKET|LOW,7,YARN_STORE,FARMERS_MARKET,,LOW,10,1828,False,False,False,12,88,2,6,1,10,6,0,12
D7|YARN_STORE+FARMERS_MARKET|BASE,7,YARN_STORE,FARMERS_MARKET,,BASE,10,2018,False,False,False,11,88,2,6,1,12,6,0,12
D7|YARN_STORE+FARMERS_MARKET|HIGH,7,YARN_STORE,FARMERS_MARKET,,HIGH,11,2218,False,False,False,11,88,2,6,1,14,6,0,12
D7|ICE_CREAM_SHOP+BAKERY|LOW,7,ICE_CREAM_SHOP,BAKERY,,LOW,10,1808,False,False,False,12,88,7,1,1,16,0,0,12
D7|ICE_CREAM_SHOP+BAKERY|BASE,7,ICE_CREAM_SHOP,BAKERY,,BASE,10,1808,False,False,False,12,88,7,1,1,16,0,0,12
D7|ICE_CREAM_SHOP+BAKERY|HIGH,7,ICE_CREAM_SHOP,BAKERY,,HIGH,11,2108,False,False,False,12,88,7,1,2,16,0,0,12
D7|ICE_CREAM_SHOP+PIZZA_SHOP|LOW,7,ICE_CREAM_SHOP,PIZZA_SHOP,,LOW,10,1978,False,False,False,9,88,7,1,1,16,0,4,12
D7|ICE_CREAM_SHOP+PIZZA_SHOP|BASE,7,ICE_CREAM_SHOP,PIZZA_SHOP,,BASE,10,2368,False,False,False,8,88,8,1,1,16,0,4,12
D7|ICE_CREAM_SHOP+PIZZA_SHOP|HIGH,7,ICE_CREAM_SHOP,PIZZA_SHOP,,HIGH,11,2568,False,False,False,8,88,8,1,1,18,0,4,12
D7|ICE_CREAM_SHOP+BRUNCH_SPOT|LOW,7,ICE_CREAM_SHOP,BRUNCH_SPOT,,LOW,10,4478,True,True,False,19,88,7,1,1,22,0,0,12
D7|ICE_CREAM_SHOP+BRUNCH_SPOT|BASE,7,ICE_CREAM_SHOP,BRUNCH_SPOT,,BASE,10,4478,True,True,False,19,88,7,1,1,22,0,0,12
D7|ICE_CREAM_SHOP+BRUNCH_SPOT|HIGH,7,ICE_CREAM_SHOP,BRUNCH_SPOT,,HIGH,11,4778,True,True,False,19,88,7,1,2,22,0,0,12
D7|ICE_CREAM_SHOP+YARN_STORE|LOW,7,ICE_CREAM_SHOP,YARN_STORE,,LOW,10,2308,False,False,False,12,88,7,2,1,16,0,0,12
D7|ICE_CREAM_SHOP+YARN_STORE|BASE,7,ICE_CREAM_SHOP,YARN_STORE,,BASE,10,2798,False,False,False,11,88,7,3,1,16,0,0,12
D7|ICE_CREAM_SHOP+YARN_STORE|HIGH,7,ICE_CREAM_SHOP,YARN_STORE,,HIGH,11,2998,False,False,False,11,88,7,3,1,18,0,0,12
D7|ICE_CREAM_SHOP+ICE_CREAM_SHOP|LOW,7,ICE_CREAM_SHOP,ICE_CREAM_SHOP,,LOW,10,4478,True,True,False,19,88,7,1,1,22,0,0,12
D7|ICE_CREAM_SHOP+ICE_CREAM_SHOP|BASE,7,ICE_CREAM_SHOP,ICE_CREAM_SHOP,,BASE,10,4878,True,True,False,19,88,8,1,1,22,0,0,12
D7|ICE_CREAM_SHOP+ICE_CREAM_SHOP|HIGH,7,ICE_CREAM_SHOP,ICE_CREAM_SHOP,,HIGH,11,5078,True,True,False,19,88,8,1,1,24,0,0,12
D7|ICE_CREAM_SHOP+PET_CAFE|LOW,7,ICE_CREAM_SHOP,PET_CAFE,,LOW,10,4138,True,True,False,25,88,7,1,1,16,10,0,12
D7|ICE_CREAM_SHOP+PET_CAFE|BASE,7,ICE_CREAM_SHOP,PET_CAFE,,BASE,10,4178,True,True,False,21,88,7,1,1,16,14,0,12
D7|ICE_CREAM_SHOP+PET_CAFE|HIGH,7,ICE_CREAM_SHOP,PET_CAFE,,HIGH,11,4258,True,True,False,21,88,7,1,1,16,18,0,12
D7|ICE_CREAM_SHOP+SMOOTHIE_SHOP|LOW,7,ICE_CREAM_SHOP,SMOOTHIE_SHOP,,LOW,10,4478,True,True,False,19,88,7,1,1,22,0,0,12
D7|ICE_CREAM_SHOP+SMOOTHIE_SHOP|BASE,7,ICE_CREAM_SHOP,SMOOTHIE_SHOP,,BASE,10,4878,True,True,False,19,88,8,1,1,22,0,0,12
D7|ICE_CREAM_SHOP+SMOOTHIE_SHOP|HIGH,7,ICE_CREAM_SHOP,SMOOTHIE_SHOP,,HIGH,11,5078,True,True,False,19,88,8,1,1,24,0,0,12
D7|ICE_CREAM_SHOP+FARMERS_MARKET|LOW,7,ICE_CREAM_SHOP,FARMERS_MARKET,,LOW,10,4418,True,True,False,21,88,7,1,1,20,6,0,12
D7|ICE_CREAM_SHOP+FARMERS_MARKET|BASE,7,ICE_CREAM_SHOP,FARMERS_MARKET,,BASE,10,4598,True,True,False,19,88,7,1,1,22,6,0,12
D7|ICE_CREAM_SHOP+FARMERS_MARKET|HIGH,7,ICE_CREAM_SHOP,FARMERS_MARKET,,HIGH,11,4798,True,True,False,19,88,7,1,1,24,6,0,12
D7|PET_CAFE+BAKERY|LOW,7,PET_CAFE,BAKERY,,LOW,10,208,False,False,False,12,88,2,1,3,0,14,0,12
D7|PET_CAFE+BAKERY|BASE,7,PET_CAFE,BAKERY,,BASE,10,508,False,False,False,12,88,2,1,4,0,14,0,12
D7|PET_CAFE+BAKERY|HIGH,7,PET_CAFE,BAKERY,,HIGH,11,808,False,False,False,12,88,2,1,5,0,14,0,12
D7|PET_CAFE+PIZZA_SHOP|LOW,7,PET_CAFE,PIZZA_SHOP,,LOW,10,808,False,False,False,12,88,3,1,3,0,14,4,12
D7|PET_CAFE+PIZZA_SHOP|BASE,7,PET_CAFE,PIZZA_SHOP,,BASE,10,1208,False,False,False,12,88,4,1,3,0,14,4,12
D7|PET_CAFE+PIZZA_SHOP|HIGH,7,PET_CAFE,PIZZA_SHOP,,HIGH,11,1308,False,False,False,12,88,4,1,3,0,14,6,12
